"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"565","A836_JAGUARAO",0.105,0.159,0.592,0.668
"566","A837_SOLEDADE_(Automatica)",0.434,0.467,0.767,0.684
"567","A838_CAMAQUA",0.321,0.291,0.396,0.119
"568","A839_PASSO_FUNDO",0.286,0.353,0.628,0.453
"569","A840_BENTO_GONCALVES",0.325,0.394,0.791,0.672
"570","A841_JOACABA",0.314,0.375,0.589,0.594
"571","A842_NOVA_FATIMA",0.199,0.299,0.566,0.509
"572","A843_DOIS_VIZINHOS",0.273,0.326,0.557,0.454
"573","A844_LAGOA_VERMELHA",0.328,0.407,0.752,0.718
"574","A845_URUBICI",0.208,0.224,0.282,0.267
"575","A846_FOZ_DO_IGUACU_(Automatica)",0.374,0.308,0.339,0.307
"576","A847_ILHA_DO_MEL",0.154,0.192,0.378,0.543
"577","A848_DIONISIO_CERQUEIRA_(Automatica)",0.367,0.348,0.482,0.416
"578","A849_DIAMANTE_DO_NORTE_(Automatica)",0.055,0.085,0.113,0.016
"579","A850_PARANAPOEMA_(Automatica)",0.107,0.195,0.44,0.287
"580","A851_ITAPOA",0.179,0.214,0.23,0.365
"581","A852_SAO_LUIZ_GONZAGA",0.25,0.345,0.63,0.574
"582","A853_CRUZ_ALTA",0.204,0.293,0.647,0.494
"583","A854_FREDERICO_WESTPHALEN_(Automatica)",0.18,0.262,0.591,0.494
"584","A855_PLANALTO_(Automatica)",0.266,0.287,0.602,0.589
"585","A856_PALMEIRA_DAS_MISSOES_(Automatica)",0.293,0.368,0.622,0.565
"586","A857_SAO_MIGUEL_DO_OESTE_(Automatica)",0.262,0.318,0.477,0.414
"587","A858_XANXERE_(Automatica)",0.265,0.316,0.47,0.367
"588","A859_CACADOR_(Automatica)",0.227,0.266,0.435,0.472
"589","A860_CURITIBANOS_(Automatica)",0.28,0.339,0.498,0.456
"590","A861_RIO_DO_CAMPO_(Automatica)",0.232,0.268,0.459,0.398
"591","A862_RIO_NEGRINHO_(Automatica)",0.348,0.339,0.622,0.527
"592","A863_ITUPORANGA_(Automatica)",0.2,0.236,0.612,0.712
"593","A864_MAJOR_VIEIRA_(Automatica)",0.203,0.176,0.246,0.191
"594","A867_ARARANGUA_(Automatica)",0.232,0.25,0.469,0.358
"595","A868_ITAJAI_(Automatica)",0.156,0.189,0.302,0.3
"596","A871_IBAITI_(Automatica)",0.228,0.351,0.618,0.522
"597","A873_MORRETES_(Automatica)",0.142,0.157,0.11,0.005
"598","A875_GENERAL_CARNEIRO_(Automatica)",0.162,0.191,0.574,0.551
"599","A876_CLEVELANDIA_(Automatica)",0.221,0.266,0.525,0.545
"600","A878_MOSTARDAS_(Automatica)",0.447,0.464,0.713,0.652
"601","A879_CANELA_(Automatica)",0.316,0.367,0.692,0.506
"602","A880_VACARIA_(Automatica)",0.295,0.372,0.719,0.66
"603","A881_DOM_PEDRITO_(Automatica)",0.333,0.398,0.626,0.574
"604","A899_CHUI_(Automatica)",0.363,0.405,0.804,0.798
